candidate_phrase,normalized_phrase,query,occurrence_count,source_count,evidence_id,source_id,source_title,author,page_number,heading,matched_raw_terms,matched_registered_terms,proximity_reason,first_seen_at,status
generation the law,generation the law,live under law,1,1,ANF_09_EVID_00890_BODY_01,ANF_09,"ANF09. The Gospel of Peter, The Diatessaron of Tatian, The Apocalypse of Peter, the Vision of Paul, The Apocalypse of the Virgin and Sedrach, The Testament of Abraham, The Acts of Xanthippe and Polyxena, The Narrative of Zosimus, The Apology of Aristides, The Epistles of Clement (complete text), Origen’s Commentary on John, Books 1–10, and Commentary on Matthew, Books 1, 2, and 10–14.",Origen,890,Why Jesus Called Them an Adulterous Generation. The Law as Husband.,law; live,law,live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
generation the law as,generation the law as,live under law,1,1,ANF_09_EVID_00890_BODY_01,ANF_09,"ANF09. The Gospel of Peter, The Diatessaron of Tatian, The Apocalypse of Peter, the Vision of Paul, The Apocalypse of the Virgin and Sedrach, The Testament of Abraham, The Acts of Xanthippe and Polyxena, The Narrative of Zosimus, The Apology of Aristides, The Epistles of Clement (complete text), Origen’s Commentary on John, Books 1–10, and Commentary on Matthew, Books 1, 2, and 10–14.",Origen,890,Why Jesus Called Them an Adulterous Generation. The Law as Husband.,law; live,law,live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
generation the law as husband,generation the law as husband,live under law,1,1,ANF_09_EVID_00890_BODY_01,ANF_09,"ANF09. The Gospel of Peter, The Diatessaron of Tatian, The Apocalypse of Peter, the Vision of Paul, The Apocalypse of the Virgin and Sedrach, The Testament of Abraham, The Acts of Xanthippe and Polyxena, The Narrative of Zosimus, The Apology of Aristides, The Epistles of Clement (complete text), Origen’s Commentary on John, Books 1–10, and Commentary on Matthew, Books 1, 2, and 10–14.",Origen,890,Why Jesus Called Them an Adulterous Generation. The Law as Husband.,law; live,law,live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
human law,human law,live under law,1,1,AQUINAS_SUMMA_EVID_02468_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2468,Article. 4 - Whether Isidore's division of human laws is appropriate?,law; live,law,live~law in body (35),2026-09-04T17:19:48.899911+00:00,pending
human laws,human laws,live under law,1,1,AQUINAS_SUMMA_EVID_02468_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2468,Article. 4 - Whether Isidore's division of human laws is appropriate?,law; live,law,live~law in body (35),2026-09-04T17:19:48.899911+00:00,pending
human laws is,human laws is,live under law,1,1,AQUINAS_SUMMA_EVID_02468_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2468,Article. 4 - Whether Isidore's division of human laws is appropriate?,law; live,law,live~law in body (35),2026-09-04T17:19:48.899911+00:00,pending
i live,i live,live under law,1,1,LUTHER_GALATIANS_EVID_00053_BODY_01,LUTHER_GALATIANS,A Commentary on St. Paul's Epistle to the Galatians,Martin Luther,53,Galatians 2,law; live,law,live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
impunity who lived,impunity who lived,live under law,1,1,NPNF2_11_EVID_01248_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1248,"Chapter XVIII. An objection that only those men employed lies with impunity, who lived under the law.",law; live,law,live~law in heading (11); live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
impunity who lived under,impunity who lived under,live under law,1,1,NPNF2_11_EVID_01248_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1248,"Chapter XVIII. An objection that only those men employed lies with impunity, who lived under the law.",law; live,law,live~law in heading (11); live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
impunity who lived under the,impunity who lived under the,live under law,1,1,NPNF2_11_EVID_01248_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1248,"Chapter XVIII. An objection that only those men employed lies with impunity, who lived under the law.",law; live,law,live~law in heading (11); live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
inconsistent with british law,inconsistent with british law,live under law,1,1,JOHN_OWEN_TRUTHINNOCENCE_EVID_00057_BODY_01,JOHN_OWEN_TRUTHINNOCENCE,Truth and Innocence Vindicated,John Owen,57,A Survey of the First Chapter. Inconsistent expressions of Parker in regard to the power of the magistrate and the rights of conscience — The design of his discourse to prove the magistrate’s authority to govern the consciences of his subjects in affairs of religion — This doctrine inconsistent with British law — Ascribes more power to the magistrate than to Christ — Contrary to the history of the royal prerogative — Alleged necessity of the principle to public peace and order — Evils alleged to spring from liberty of conscience — The principle of Parker no real preventive to these evils — Various pleas refuted.,law; live,law,live~law in body (33),2026-09-04T17:19:48.899911+00:00,pending
inconsistent with british law ascribes,inconsistent with british law ascribes,live under law,1,1,JOHN_OWEN_TRUTHINNOCENCE_EVID_00057_BODY_01,JOHN_OWEN_TRUTHINNOCENCE,Truth and Innocence Vindicated,John Owen,57,A Survey of the First Chapter. Inconsistent expressions of Parker in regard to the power of the magistrate and the rights of conscience — The design of his discourse to prove the magistrate’s authority to govern the consciences of his subjects in affairs of religion — This doctrine inconsistent with British law — Ascribes more power to the magistrate than to Christ — Contrary to the history of the royal prerogative — Alleged necessity of the principle to public peace and order — Evils alleged to spring from liberty of conscience — The principle of Parker no real preventive to these evils — Various pleas refuted.,law; live,law,live~law in body (33),2026-09-04T17:19:48.899911+00:00,pending
intended by the law,intended by the law,live under law,1,1,JOHN_OWEN_JUST_EVID_00271_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,271,"Chapter XIV. The exclusion of all sorts of works from an interest in justification. What is intended by “the law,” and the “works” of it, in the epistles of Paul.",law; live,law,live~law in body (15),2026-09-04T17:19:48.899911+00:00,pending
intended by the law and,intended by the law and,live under law,1,1,JOHN_OWEN_JUST_EVID_00271_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,271,"Chapter XIV. The exclusion of all sorts of works from an interest in justification. What is intended by “the law,” and the “works” of it, in the epistles of Paul.",law; live,law,live~law in body (15),2026-09-04T17:19:48.899911+00:00,pending
law 11,law 11,live under law,1,1,CHARLES_HODGE_THEOLOGY3_EVID_00361_BODY_01,CHARLES_HODGE_THEOLOGY3,Systematic Theology - Volume III,Charles Hodge,361,11. The Seventh Commandment.,law; live,law,,2026-09-04T17:19:48.899911+00:00,pending
law 11 the,law 11 the,live under law,1,1,CHARLES_HODGE_THEOLOGY3_EVID_00361_BODY_01,CHARLES_HODGE_THEOLOGY3,Systematic Theology - Volume III,Charles Hodge,361,11. The Seventh Commandment.,law; live,law,,2026-09-04T17:19:48.899911+00:00,pending
law 11 the seventh,law 11 the seventh,live under law,1,1,CHARLES_HODGE_THEOLOGY3_EVID_00361_BODY_01,CHARLES_HODGE_THEOLOGY3,Systematic Theology - Volume III,Charles Hodge,361,11. The Seventh Commandment.,law; live,law,,2026-09-04T17:19:48.899911+00:00,pending
law a treatise,law a treatise,live under law,1,1,NPNF1_05_EVID_01103_BODY_01,NPNF1_05,NPNF1-05. St. Augustine: Anti-Pelagian Writings,Augustine of Hippo,1103,"That the Apostle is Speaking in His Own Person and that of Others Who Are Under Grace, Not Still Under Law.",law,law,,2026-09-04T17:19:48.899911+00:00,pending
law a treatise against,law a treatise against,live under law,1,1,NPNF1_05_EVID_01103_BODY_01,NPNF1_05,NPNF1-05. St. Augustine: Anti-Pelagian Writings,Augustine of Hippo,1103,"That the Apostle is Speaking in His Own Person and that of Others Who Are Under Grace, Not Still Under Law.",law,law,,2026-09-04T17:19:48.899911+00:00,pending
law and life,law and life,live under law,1,1,CHARLES_HADDON_SPURGEON_SERMONS32_EVID_00684_BODY_01,CHARLES_HADDON_SPURGEON_SERMONS32,Spurgeon's Sermons Volume 32: 1886,Charles Haddon Spurgeon,684,Sermon 1932. Love's Law and Life,law; live,law,live~law in body (115),2026-09-04T17:19:48.899911+00:00,pending
law and the works,law and the works,live under law,1,1,JOHN_OWEN_JUST_EVID_00271_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,271,"Chapter XIV. The exclusion of all sorts of works from an interest in justification. What is intended by “the law,” and the “works” of it, in the epistles of Paul.",law; live,law,live~law in body (15),2026-09-04T17:19:48.899911+00:00,pending
law as,law as,live under law,1,1,ANF_09_EVID_00890_BODY_01,ANF_09,"ANF09. The Gospel of Peter, The Diatessaron of Tatian, The Apocalypse of Peter, the Vision of Paul, The Apocalypse of the Virgin and Sedrach, The Testament of Abraham, The Acts of Xanthippe and Polyxena, The Narrative of Zosimus, The Apology of Aristides, The Epistles of Clement (complete text), Origen’s Commentary on John, Books 1–10, and Commentary on Matthew, Books 1, 2, and 10–14.",Origen,890,Why Jesus Called Them an Adulterous Generation. The Law as Husband.,law; live,law,live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
